Date,Shift,Machine_ID,Operator_ID,Fabric_Type,Target_Output_Meters,Actual_Output_Meters,Defect_Rate_Percent,Machine_Downtime_Minutes,Power_Consumption_kWh,Rework_Required_Meters,Operator_Experience_Years,Ambient_Temperature_C,Humidity_Percent,Production_Efficiency_Percent,Comments
2024-01-04,Night,M015,O031,Blend,1159,1044,8.56,10,339.88,34,14.1,30.2,63.0,90.08,Low Quality Yarn
2024-02-08,Night,M011,O012,Blend,951,813,6.43,6,384.34,20,14.4,30.2,76.2,85.49,Smooth
2024-02-10,Morning,M013,O019,Cotton,1019,793,0.69,1,325.68,18,12.8,30.6,40.9,77.82,Low Quality Yarn
2024-03-16,Morning,M005,O033,Polyester,907,930,2.82,1,397.6,41,11.2,34.4,72.1,102.54,Smooth
2024-03-24,Night,M020,O023,Blend,1170,950,1.77,13,260.62,39,5.4,26.3,77.2,81.2,Smooth
2024-04-18,Morning,M006,O022,Polyester,1014,1057,4.29,13,329.6,48,7.8,30.8,73.1,104.24,Smooth
2024-04-23,Morning,M002,O047,Blend,801,663,8.96,4,336.45,31,14.3,28.2,62.9,82.77,Smooth
2024-03-26,Afternoon,M016,O019,Cotton,811,772,4.48,3,410.25,30,12.0,26.4,71.6,95.19,Smooth
2024-03-08,Afternoon,M012,O002,Cotton,899,662,4.94,0,245.5,30,5.6,35.3,44.7,73.64,Smooth
2024-04-27,Afternoon,M015,O018,Blend,996,754,7.62,9,328.33,32,10.7,30.6,43.3,75.7,Operator Absent
2024-03-31,Morning,M002,O025,Cotton,908,666,9.87,4,407.72,31,14.8,28.6,70.1,73.35,Operator Absent
2024-03-08,Afternoon,M020,O032,Blend,825,701,0.84,15,248.15,32,2.1,34.7,59.7,84.97,Low Quality Yarn
2024-04-11,Night,M008,O018,Polyester,955,672,4.69,0,413.56,22,14.5,32.3,55.0,70.37,Smooth
2024-03-24,Morning,M016,O050,Blend,899,732,8.69,2,353.48,36,1.6,33.0,62.2,81.42,Power Cut
2024-02-23,Afternoon,M016,O034,Polyester,1155,1256,5.23,9,328.4,44,9.0,35.6,76.0,108.74,Smooth
2024-01-17,Morning,M006,O026,Polyester,933,670,2.81,30,344.45,23,4.5,32.9,47.5,71.81,Smooth
2024-04-28,Morning,M003,O029,Polyester,1049,928,3.53,8,254.36,39,10.4,31.1,46.5,88.47,Smooth
2024-02-25,Morning,M018,O018,Blend,940,1000,8.23,29,387.1,26,14.0,34.4,74.6,106.38,Low Quality Yarn
2024-01-31,Afternoon,M006,O008,Polyester,977,701,0.26,4,364.77,17,14.6,26.7,73.7,71.75,Low Quality Yarn
2024-03-15,Night,M016,O007,Blend,855,885,4.69,5,344.57,39,12.3,29.8,80.0,103.51,Smooth
2024-03-10,Morning,M013,O022,Cotton,1079,1185,5.55,14,334.35,17,14.3,25.2,64.2,109.82,Low Quality Yarn
2024-03-18,Night,M013,O027,Polyester,880,696,6.72,9,308.61,25,8.0,29.1,70.9,79.09,Smooth
2024-04-13,Morning,M016,O015,Blend,925,839,8.52,8,401.33,21,2.4,30.5,41.2,90.7,Smooth
2024-01-30,Morning,M012,O032,Cotton,866,867,6.2,12,328.32,9,5.6,29.0,63.6,100.12,Smooth
2024-03-16,Night,M005,O046,Blend,1033,885,4.37,23,360.01,36,6.2,23.5,64.9,85.67,Smooth
2024-03-29,Morning,M008,O048,Blend,987,1031,9.5,1,349.26,20,7.2,32.4,79.2,104.46,Smooth
2024-04-29,Morning,M009,O028,Blend,1049,941,3.29,10,343.85,14,2.4,29.8,46.1,89.7,Breakdown
2024-03-04,Morning,M014,O010,Cotton,845,638,6.41,2,387.37,18,10.2,29.1,46.9,75.5,Humidity Issue
2024-02-20,Afternoon,M016,O007,Blend,853,662,0.41,1,309.23,8,2.2,28.3,58.4,77.61,Smooth
2024-02-22,Morning,M019,O031,Cotton,1021,798,3.64,7,344.9,33,9.6,30.1,43.3,78.16,Smooth
2024-04-29,Afternoon,M018,O027,Blend,1025,1075,9.21,0,392.57,42,3.2,28.1,48.4,104.88,Smooth
2024-01-08,Afternoon,M020,O016,Blend,899,762,4.85,9,318.67,30,1.0,23.4,50.1,84.76,Breakdown
2024-04-24,Night,M002,O048,Blend,961,946,8.95,7,301.39,26,8.2,30.2,49.7,98.44,Power Cut
2024-04-15,Night,M011,O004,Blend,892,720,3.77,0,296.94,16,2.2,28.0,75.6,80.72,Smooth
2024-01-07,Morning,M003,O010,Cotton,977,915,6.79,15,306.3,28,9.0,30.0,69.8,93.65,Operator Absent
2024-02-09,Night,M019,O012,Polyester,868,757,1.28,3,419.79,24,5.7,26.1,79.5,87.21,Smooth
2024-04-16,Afternoon,M007,O005,Blend,1088,1025,2.37,1,327.09,16,3.2,28.1,51.4,94.21,Low Quality Yarn
2024-04-20,Night,M009,O023,Blend,938,721,8.97,0,224.86,35,2.1,32.1,55.9,76.87,Smooth
2024-04-09,Afternoon,M009,O050,Cotton,1017,1106,8.66,16,313.8,40,14.0,28.4,62.3,108.75,Smooth
2024-03-15,Night,M017,O003,Cotton,985,914,2.8,14,321.77,24,7.9,27.0,49.7,92.79,Smooth
2024-01-22,Morning,M011,O011,Cotton,1075,801,6.11,3,293.04,23,8.2,30.8,42.1,74.51,Humidity Issue
2024-01-18,Afternoon,M020,O043,Blend,959,800,1.34,0,319.9,29,11.5,32.3,63.8,83.42,Smooth
2024-01-05,Night,M008,O015,Cotton,1063,944,4.12,4,358.49,16,1.5,30.3,69.6,88.81,Smooth
2024-04-29,Night,M016,O032,Polyester,1095,1018,8.42,1,320.27,16,2.9,31.8,72.6,92.97,Smooth
2024-03-27,Night,M007,O003,Cotton,926,894,5.23,4,336.49,38,6.9,32.8,55.1,96.54,Smooth
2024-04-04,Morning,M015,O007,Blend,1196,1058,3.01,13,270.99,48,6.1,30.0,61.7,88.46,Breakdown
2024-01-31,Afternoon,M013,O007,Cotton,1193,1267,6.24,1,358.26,29,2.5,31.7,71.8,106.2,Smooth
2024-03-24,Afternoon,M008,O002,Cotton,1034,980,5.33,22,325.63,22,4.1,31.2,69.8,94.78,Breakdown
2024-01-25,Morning,M003,O027,Cotton,864,616,5.7,14,332.62,26,2.1,32.5,73.9,71.3,Smooth
2024-04-15,Night,M007,O001,Blend,1046,785,3.97,15,328.63,30,10.9,28.3,65.6,75.05,Smooth
2024-04-13,Morning,M011,O027,Polyester,935,914,5.43,2,297.08,42,9.0,28.5,56.0,97.75,Humidity Issue
2024-01-19,Afternoon,M013,O013,Cotton,1081,956,9.47,1,359.03,32,0.8,37.9,74.9,88.44,Smooth
2024-03-08,Morning,M008,O002,Cotton,1161,1245,5.65,11,360.84,20,8.9,31.3,64.3,107.24,Breakdown
2024-03-31,Morning,M012,O004,Cotton,867,753,7.36,27,345.49,10,14.8,32.3,73.6,86.85,Smooth
2024-04-01,Night,M009,O004,Polyester,1119,839,9.21,20,476.93,21,1.3,31.6,53.4,74.98,Smooth
2024-02-27,Night,M006,O009,Cotton,1124,1147,0.05,4,392.61,53,5.5,23.0,53.9,102.05,Power Cut
2024-02-06,Morning,M019,O006,Blend,1015,1009,4.52,2,293.73,17,7.7,29.6,56.8,99.41,Operator Absent
2024-04-20,Morning,M019,O033,Blend,1020,1087,3.62,8,299.14,52,2.7,31.6,56.6,106.57,Smooth
2024-02-27,Afternoon,M007,O014,Polyester,1076,789,9.97,6,316.12,31,3.5,30.4,75.9,73.33,Power Cut
2024-01-05,Morning,M014,O043,Cotton,945,739,1.91,0,478.5,9,11.7,26.7,58.1,78.2,Smooth
2024-03-14,Afternoon,M018,O010,Cotton,1104,1004,4.41,5,291.12,17,13.0,30.6,77.8,90.94,Smooth
2024-03-02,Morning,M008,O040,Blend,1015,862,2.71,10,331.91,14,10.9,29.8,66.4,84.93,Power Cut
2024-01-05,Afternoon,M013,O003,Cotton,1042,740,2.22,2,354.94,12,10.0,29.6,49.5,71.02,Smooth
2024-03-01,Morning,M001,O005,Blend,854,631,2.43,12,361.73,16,10.2,30.8,48.2,73.89,Smooth
2024-03-02,Afternoon,M015,O005,Blend,933,762,8.96,0,266.51,34,12.4,35.3,53.7,81.67,Smooth
2024-04-08,Morning,M013,O039,Blend,805,647,3.8,8,387.82,17,8.5,25.8,57.4,80.37,Low Quality Yarn
2024-02-07,Morning,M015,O003,Blend,1029,841,9.48,14,398.59,35,6.7,29.9,40.9,81.73,Smooth
2024-01-18,Morning,M010,O022,Polyester,1072,865,5.42,10,318.86,37,14.8,28.7,61.0,80.69,Power Cut
2024-04-26,Morning,M008,O049,Polyester,1050,807,2.72,0,268.52,25,9.9,31.7,73.2,76.86,Smooth
2024-01-30,Night,M009,O005,Blend,1172,917,0.11,1,431.03,33,3.0,34.7,76.6,78.24,Humidity Issue
2024-02-19,Night,M014,O026,Blend,930,806,3.83,7,332.6,27,4.1,30.6,55.6,86.67,Smooth
2024-04-13,Morning,M017,O046,Blend,1134,924,3.56,12,378.7,26,10.1,24.7,77.5,81.48,Smooth
2024-03-19,Morning,M015,O016,Cotton,1137,1129,2.15,0,380.38,13,7.7,25.4,63.9,99.3,Humidity Issue
2024-01-20,Night,M020,O034,Cotton,1184,987,7.71,1,358.99,29,10.5,29.0,57.4,83.36,Smooth
2024-04-06,Night,M009,O007,Polyester,1106,883,8.19,16,295.61,29,5.7,32.8,43.7,79.84,Smooth
2024-03-01,Afternoon,M012,O030,Polyester,880,938,1.37,30,284.03,29,13.2,29.3,69.3,106.59,Humidity Issue
2024-02-19,Night,M017,O049,Cotton,990,1012,6.59,11,327.31,29,3.7,31.9,79.5,102.22,Smooth
2024-03-08,Afternoon,M013,O036,Cotton,863,929,0.39,12,390.92,10,10.6,30.4,51.9,107.65,Smooth
2024-04-14,Morning,M017,O019,Blend,976,1044,9.71,28,406.45,45,5.1,29.8,73.2,106.97,Smooth
2024-02-13,Night,M008,O038,Blend,912,651,5.96,2,297.88,25,1.4,33.8,52.6,71.38,Low Quality Yarn
2024-02-06,Night,M001,O041,Blend,839,768,7.91,3,393.39,26,3.9,30.8,41.0,91.54,Smooth
2024-02-04,Night,M011,O016,Blend,1171,1227,0.21,20,385.67,51,15.0,30.1,54.0,104.78,Operator Absent
2024-04-16,Night,M010,O016,Cotton,819,824,4.02,6,395.99,40,11.6,30.9,56.7,100.61,Operator Absent
2024-02-13,Afternoon,M017,O005,Blend,933,810,7.38,2,334.98,17,4.8,27.6,49.3,86.82,Smooth
2024-02-25,Morning,M003,O018,Polyester,895,641,0.18,43,253.32,23,3.7,26.4,78.0,71.62,Power Cut
2024-02-27,Night,M012,O015,Cotton,1144,1160,0.89,5,465.49,19,14.9,28.0,49.3,101.4,Operator Absent
2024-01-23,Morning,M017,O028,Cotton,851,916,6.5,9,271.5,15,3.7,30.2,47.5,107.64,Smooth
2024-01-09,Morning,M017,O021,Cotton,1087,1099,3.5,0,331.33,44,10.6,26.5,46.2,101.1,Smooth
2024-03-08,Morning,M018,O039,Cotton,838,860,2.24,2,467.87,28,1.8,32.8,75.1,102.63,Smooth
2024-04-11,Night,M012,O007,Polyester,991,798,1.3,21,377.17,25,1.8,33.3,56.3,80.52,Smooth
2024-02-21,Morning,M016,O047,Polyester,1152,978,2.6,12,307.95,18,10.4,30.0,43.0,84.9,Operator Absent
2024-02-04,Afternoon,M007,O015,Blend,1029,1070,4.95,6,410.28,25,10.3,31.0,62.6,103.98,Smooth
2024-03-31,Night,M006,O037,Cotton,1115,899,8.79,15,396.65,40,10.8,31.3,73.5,80.63,Smooth
2024-02-11,Night,M016,O013,Polyester,928,908,6.8,9,317.54,41,13.1,31.4,41.2,97.84,Smooth
2024-01-17,Morning,M005,O011,Polyester,1121,1154,1.29,4,315.52,49,12.6,31.5,60.3,102.94,Humidity Issue
2024-01-28,Afternoon,M012,O012,Cotton,1144,803,2.87,9,351.23,16,9.7,30.3,61.6,70.19,Smooth
2024-03-18,Night,M017,O027,Cotton,897,907,1.07,14,376.9,21,9.7,30.1,77.3,101.11,Breakdown
2024-01-01,Morning,M018,O048,Cotton,1083,802,9.37,11,340.68,30,1.5,28.8,63.3,74.05,Smooth
2024-03-29,Morning,M010,O020,Polyester,1059,887,6.21,0,368.36,9,0.8,28.4,52.9,83.76,Smooth
2024-02-28,Afternoon,M019,O032,Polyester,1196,1070,7.7,11,264.95,53,6.7,28.8,58.1,89.46,Smooth
2024-03-29,Night,M006,O015,Cotton,1149,879,7.95,11,406.09,18,14.3,33.9,46.0,76.5,Smooth
2024-03-05,Night,M001,O009,Cotton,1033,901,9.44,5,288.64,18,14.8,35.0,56.4,87.22,Low Quality Yarn
2024-01-01,Afternoon,M002,O001,Blend,1037,1096,2.3,2,353.71,27,13.0,29.3,58.9,105.69,Breakdown
2024-03-12,Night,M010,O022,Cotton,987,1073,1.86,20,385.39,46,11.5,32.2,65.0,108.71,Smooth
2024-03-21,Morning,M004,O037,Cotton,1171,881,0.33,25,412.46,25,2.2,31.5,45.0,75.23,Smooth
2024-03-27,Night,M008,O006,Polyester,1189,1158,4.3,2,312.96,38,4.4,30.0,71.9,97.39,Smooth
2024-04-14,Night,M001,O050,Cotton,1144,942,4.55,0,341.35,27,9.2,27.9,51.7,82.34,Smooth
2024-01-09,Morning,M016,O002,Cotton,951,930,8.6,15,348.79,13,4.0,28.3,79.5,97.79,Smooth
2024-04-12,Afternoon,M006,O020,Blend,881,666,4.99,9,376.24,6,5.2,35.3,60.7,75.6,Humidity Issue
2024-01-29,Night,M008,O049,Cotton,1053,774,3.51,0,341.05,11,8.7,27.8,67.6,73.5,Smooth
2024-03-31,Afternoon,M019,O039,Cotton,1101,1123,2.0,1,363.78,42,1.0,27.6,77.4,102.0,Smooth
2024-01-31,Night,M017,O024,Blend,985,709,5.41,12,369.66,29,5.4,32.0,72.6,71.98,Smooth
2024-01-05,Afternoon,M016,O015,Cotton,1169,855,8.95,7,340.1,30,8.1,34.0,69.3,73.14,Smooth
2024-02-13,Afternoon,M004,O045,Cotton,873,639,0.6,2,298.42,26,10.1,28.4,59.9,73.2,Smooth
2024-02-17,Morning,M003,O047,Cotton,1123,1035,7.19,2,293.61,38,1.5,31.7,41.2,92.16,Humidity Issue
2024-02-24,Morning,M006,O047,Polyester,807,648,4.63,20,396.64,17,5.5,32.6,54.8,80.3,Smooth
2024-01-31,Afternoon,M001,O021,Polyester,867,949,0.4,20,271.91,37,7.6,36.0,74.9,109.46,Smooth
2024-02-10,Afternoon,M001,O005,Cotton,983,1042,4.22,3,390.02,19,9.5,30.5,65.3,106.0,Smooth
2024-01-04,Night,M017,O041,Cotton,1017,1010,1.32,12,366.19,29,4.1,29.1,74.8,99.31,Smooth
2024-02-18,Night,M002,O002,Polyester,1004,881,5.15,4,292.22,22,14.6,31.0,50.3,87.75,Smooth
2024-04-18,Afternoon,M019,O008,Cotton,1071,1031,3.25,14,272.21,13,3.0,29.2,60.8,96.27,Smooth
2024-04-28,Night,M014,O032,Polyester,1003,837,8.29,5,382.45,32,2.9,25.8,46.7,83.45,Smooth
2024-02-09,Afternoon,M004,O036,Cotton,1188,849,7.36,10,410.73,35,9.0,29.7,74.7,71.46,Smooth
2024-04-30,Night,M012,O013,Blend,859,672,1.12,3,352.42,31,1.1,27.9,44.9,78.23,Low Quality Yarn
2024-04-30,Afternoon,M016,O020,Polyester,982,865,9.34,3,320.56,13,14.8,30.0,78.6,88.09,Smooth
2024-01-31,Morning,M001,O010,Blend,1094,767,9.52,10,343.32,23,7.6,33.3,66.7,70.11,Smooth
2024-03-14,Night,M020,O043,Polyester,1043,788,0.3,3,303.08,29,14.6,31.9,43.8,75.55,Smooth
2024-03-12,Night,M002,O036,Polyester,928,899,4.44,20,377.36,39,14.2,27.2,67.3,96.88,Low Quality Yarn
2024-03-27,Night,M014,O020,Cotton,935,840,6.18,20,327.55,39,10.5,30.2,67.1,89.84,Smooth
2024-01-05,Afternoon,M009,O027,Polyester,1056,830,6.59,5,311.42,30,15.0,30.9,41.9,78.6,Smooth
2024-03-11,Afternoon,M020,O025,Cotton,944,1029,4.07,20,367.03,40,13.2,34.3,56.2,109.0,Humidity Issue
2024-03-03,Night,M009,O003,Blend,1073,891,6.68,16,386.07,24,12.4,31.9,44.8,83.04,Smooth
2024-03-30,Night,M020,O028,Polyester,904,829,0.06,3,286.1,31,6.1,25.1,57.9,91.7,Smooth
2024-01-11,Afternoon,M015,O005,Polyester,1044,829,3.73,2,358.48,30,9.5,27.9,58.5,79.41,Smooth
2024-01-13,Night,M005,O032,Polyester,830,707,8.63,7,327.29,16,6.0,29.9,56.0,85.18,Breakdown
2024-02-15,Afternoon,M012,O015,Blend,1141,1063,5.34,9,384.0,41,14.4,31.7,40.7,93.16,Smooth
2024-03-15,Afternoon,M004,O014,Cotton,945,735,0.08,10,337.37,34,1.4,31.2,77.4,77.78,Smooth
2024-02-07,Afternoon,M017,O040,Blend,939,789,1.01,6,306.47,17,12.1,27.0,61.6,84.03,Smooth
2024-04-03,Afternoon,M011,O003,Polyester,938,773,6.1,12,319.83,11,3.1,25.2,67.2,82.41,Smooth
2024-02-15,Morning,M013,O049,Cotton,975,753,5.25,12,358.02,15,14.5,27.2,59.3,77.23,Smooth
2024-03-02,Morning,M002,O039,Polyester,907,927,5.5,0,373.6,31,12.4,30.4,75.4,102.21,Power Cut
2024-03-12,Morning,M007,O038,Polyester,943,746,2.12,9,407.47,34,5.6,29.1,49.5,79.11,Smooth
2024-02-03,Afternoon,M011,O006,Polyester,869,879,2.75,17,440.98,12,9.5,27.5,58.1,101.15,Humidity Issue
2024-03-15,Morning,M002,O039,Polyester,974,910,1.68,13,332.29,12,0.8,31.4,65.7,93.43,Smooth
2024-01-22,Night,M009,O011,Cotton,915,862,5.47,2,422.97,25,14.8,24.9,45.5,94.21,Smooth
2024-02-17,Night,M010,O035,Blend,945,924,4.04,5,398.82,45,2.4,33.3,44.2,97.78,Smooth
2024-03-11,Afternoon,M016,O011,Blend,912,902,5.78,3,294.96,21,1.5,27.9,60.8,98.9,Smooth
2024-03-21,Night,M016,O016,Blend,1019,740,8.0,2,401.55,26,8.2,30.3,53.0,72.62,Smooth
2024-04-24,Afternoon,M007,O010,Blend,1140,949,6.69,51,384.75,37,7.2,35.8,42.4,83.25,Smooth
2024-03-14,Morning,M018,O037,Polyester,1129,1044,9.58,1,300.47,32,1.9,31.9,58.0,92.47,Low Quality Yarn
2024-04-26,Morning,M004,O012,Blend,1112,1114,3.48,10,323.3,17,14.9,25.8,77.1,100.18,Smooth
2024-03-24,Morning,M005,O035,Blend,949,869,8.42,7,312.54,34,2.4,30.7,73.0,91.57,Smooth
2024-02-06,Afternoon,M018,O037,Blend,901,912,7.09,0,296.47,22,1.8,27.3,77.5,101.22,Smooth
2024-03-13,Morning,M004,O007,Cotton,1095,1009,3.06,5,457.79,30,13.8,26.6,59.9,92.15,Humidity Issue
2024-03-13,Morning,M010,O035,Cotton,1139,1249,8.51,2,328.07,56,13.1,33.5,72.2,109.66,Operator Absent
2024-03-13,Morning,M013,O009,Blend,837,850,3.05,0,290.6,32,5.5,28.9,79.0,101.55,Humidity Issue
2024-01-07,Afternoon,M007,O039,Polyester,1103,1054,8.22,1,473.24,42,3.0,29.1,60.1,95.56,Smooth
2024-04-26,Night,M002,O006,Cotton,1031,886,1.46,4,375.39,24,5.0,30.2,60.2,85.94,Smooth
2024-02-19,Night,M016,O044,Blend,1191,1043,1.06,10,377.01,37,2.7,26.2,42.5,87.57,Breakdown
2024-01-18,Morning,M005,O049,Blend,882,892,4.6,0,321.82,13,4.9,28.8,44.0,101.13,Low Quality Yarn
2024-01-21,Night,M004,O045,Polyester,1196,1168,0.62,7,273.29,40,8.1,32.7,57.0,97.66,Power Cut
2024-02-26,Morning,M013,O018,Cotton,1150,865,8.87,5,324.64,22,12.5,26.5,69.3,75.22,Power Cut
2024-04-13,Morning,M003,O008,Blend,964,971,0.11,5,330.42,19,11.5,30.0,45.5,100.73,Low Quality Yarn
2024-04-25,Night,M020,O049,Polyester,1124,1027,2.15,0,300.29,32,7.1,29.9,73.8,91.37,Smooth
2024-02-02,Night,M013,O021,Cotton,1064,786,4.88,1,408.41,22,6.0,27.4,55.8,73.87,Smooth
2024-03-08,Afternoon,M004,O007,Polyester,876,774,7.85,22,407.12,21,4.2,26.6,73.6,88.36,Smooth
2024-04-02,Afternoon,M012,O007,Polyester,1131,809,9.02,6,420.53,37,9.7,33.6,64.6,71.53,Operator Absent
2024-01-17,Night,M001,O011,Polyester,1029,747,5.18,1,354.43,27,1.1,35.2,43.4,72.59,Smooth
2024-03-31,Night,M013,O002,Cotton,1137,1121,0.72,0,309.88,24,5.6,33.9,71.0,98.59,Low Quality Yarn
2024-03-14,Night,M020,O040,Blend,930,897,1.85,1,364.13,36,4.3,27.9,40.8,96.45,Breakdown
2024-01-01,Night,M020,O045,Polyester,1045,765,9.68,3,380.36,19,3.5,33.9,44.9,73.21,Breakdown
2024-04-30,Afternoon,M007,O029,Polyester,834,788,7.75,10,320.83,38,12.1,30.1,51.7,94.48,Smooth
2024-01-13,Morning,M003,O047,Cotton,1200,1310,6.02,8,387.29,47,2.4,31.8,53.5,109.17,Smooth
2024-01-09,Afternoon,M001,O006,Blend,885,948,2.25,4,263.11,32,14.2,24.2,49.6,107.12,Smooth
2024-03-12,Afternoon,M017,O012,Blend,1136,850,1.97,21,282.97,36,13.0,32.7,73.9,74.82,Smooth
2024-02-15,Morning,M009,O024,Cotton,868,926,2.52,14,410.69,36,11.8,29.6,66.2,106.68,Breakdown
2024-04-29,Afternoon,M016,O024,Polyester,1104,851,5.45,41,345.28,33,12.4,29.7,48.5,77.08,Operator Absent
2024-03-23,Night,M004,O046,Polyester,888,801,8.41,13,465.02,24,4.8,33.2,62.6,90.2,Smooth
2024-02-24,Morning,M006,O047,Cotton,1185,1156,8.73,10,318.88,32,0.6,31.4,49.9,97.55,Smooth
2024-04-10,Morning,M017,O009,Cotton,951,942,9.92,1,414.4,17,8.5,28.7,69.3,99.05,Smooth
2024-03-17,Morning,M017,O019,Polyester,1070,1012,1.88,4,363.9,10,11.5,34.4,41.4,94.58,Humidity Issue
2024-02-21,Night,M020,O015,Cotton,1129,1127,2.02,31,277.51,17,4.9,26.7,75.1,99.82,Smooth
2024-03-16,Night,M002,O004,Polyester,1127,1238,3.68,5,379.45,41,6.2,31.0,56.5,109.85,Smooth
2024-04-30,Afternoon,M019,O005,Cotton,1047,1024,0.03,9,408.33,14,9.0,28.3,59.2,97.8,Humidity Issue
